Narsaq,75,GL,1547319000,90,60.91,-46.05,32.0,1.12
Issoire,90,FR,1547321400,70,45.54,3.25,42.8,4.7
Khorinsk,24,RU,1547323898,43,52.16,109.78,-15.82,1.9
Rafaela,92,AR,1547323900,86,-31.25,-61.49,77.15,8.5
Saint-Joseph,0,FR,1547321400,59,43.56,6.97,46.4,4.7
Marshalltown,90,US,1547322900,96,42.04,-92.91,30.56,14.99
Myitkyina,0,MM,1547323907,88,25.38,97.4,51.19,2.35
Kungurtug,44,RU,1547323909,66,50.6,97.53,-5.2,5.37
Isla Vista,75,US,1547322660,87,34.41,-119.86,59.0,6.93
Lapua,0,FI,1547322600,92,62.97,23.01,19.4,5.03
Karratha,0,AU,1547323916,62,-20.74,116.85,72.34,3.36
Kijang,0,KR,1547319600,74,35.24,129.21,37.4,6.93
Ambon,75,FR,1547321400,93,47.55,-2.56,50.0,9.17
Cayenne,20,GF,1547321400,66,4.94,-52.33,84.2,11.41
Ertil,80,RU,1547323925,87,51.84,40.8,11.63,11.07
Iqaluit,40,CA,1547321520,67,63.75,-68.52,-23.81,23.04
Capanema,75,BR,1547319600,58,-25.67,-53.8,87.8,6.93
Thompson,75,CA,1547319600,78,55.74,-97.86,8.6,11.41
Ust-Tsilma,68,RU,1547323934,71,65.44,52.15,17.48,8.95
Zeitz,92,DE,1547322600,86,51.05,12.13,41.0,14.99
Bandarbeyla,68,SO,1547323835,100,9.49,50.81,76.61,17.45
Mazatlan,5,MX,1547318520,51,23.22,-106.42,84.2,5.82
Meulaboh,0,ID,1547323942,100,4.14,96.13,77.56,3.58
San Marcos,40,GT,1547323200,46,14.97,-91.79,91.4,9.17
Los Llanos de Aridane,0,ES,1547321400,63,28.66,-17.92,62.6,6.93
Gore,0,ET,1547323950,60,8.15,35.53,55.28,5.14
Yining,92,CN,1547323952,97,29.04,114.56,39.08,2.68
Limbang,75,BN,1547321400,100,4.75,115.01,80.6,2.24
Evensk,0,RU,1547323956,100,61.92,159.24,1.69,5.48
Bredy,92,RU,1547323959,91,52.43,60.33,19.69,18.34
Khani,40,GE,1547321400,78,41.96,42.96,44.6,4.7
Mezhdurechensk,48,RU,1547323805,79,53.69,88.07,-1.74,2.35
